gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000140030.5,GPR65,1.632,15.51729409471324,0.10267948618968871,0.011061354888718535,1,1,,
ENSG00000180425.11,C11orf71,-1.631707267489189,-5.899074143493949,0.10274116835116086,0.07650975060001296,2,2,,
ENSG00000115946.7,PNO1,-1.6311756488693092,-10.784191458063969,0.10285326196987582,0.022878433237434163,2,2,,
ENSG00000187837.3,HIST1H1C,-1.6310876798824772,-8.634250381917665,0.10287181990977944,0.03568661354030972,2,2,,
ENSG00000135423.12,GLS2,-1.631,-431.344664235021,0.10289031951008633,1.4297465648617184e-05,1,1,,
ENSG00000272440.1,RP11-379F4.6,1.63,16.951856561908027,0.10310149698017873,0.009245718593441228,1,1,,
ENSG00000144868.13,TMEM108,-1.63,-17.07835641661372,0.10310149698017873,0.009109259268305938,1,1,,
ENSG00000203867.7,RBM20,-1.6293875797590305,-5.016831536710038,0.1032309964081554,0.10548477172378902,2,2,,
ENSG00000197816.13,CCDC180,1.629,41.21208041321733,0.10331301895020982,0.00156240309833941,1,2,,
ENSG00000129646.14,QRICH2,1.6285220427156906,6.234539136028486,0.10341423919618314,0.06823050279518175,2,3,,
ENSG00000187773.8,FAM69C,-1.6281801036241397,-7.275739976077931,0.10348670231112495,0.050078411839003814,2,2,,
ENSG00000124935.3,SCGB1D2,-1.628,-8.974388662348879,0.10352488577030546,0.03290781545109965,1,1,,
ENSG00000225446.2,LINC01763,-1.627,-25.585481364741963,0.10373709779047208,0.004043783738603618,1,1,,
ENSG00000136758.18,YME1L1,1.627,31.17705351213244,0.10373709779047208,0.002723359465214323,1,2,,
ENSG00000180370.10,PAK2,1.6260000000000001,34.632964770004044,0.10394965536059532,0.0022042545214098668,1,1,,
ENSG00000184787.18,UBE2G2,-1.626,-18.897508952229742,0.10394965536059536,0.007403412758020585,1,2,,
ENSG00000180440.3,SERTM1,1.626,1235.7696493940277,0.10394965536059536,1.7312749017387563e-06,1,1,,
ENSG00000156931.15,VPS8,-1.6256506279488763,-1.7260423086203514,0.10402399855122545,0.8870570634816235,2,3,,
ENSG00000088682.13,COQ9,-1.6253936325564542,-4.546271697088568,0.10407871179027613,0.12782221371197633,2,2,,
ENSG00000228221.5,LINC00578,-1.625,-25.07408625806433,0.10416255883043905,0.004200069718902284,1,1,,
ENSG00000076604.14,TRAF4,-1.625,-11.096615719508701,0.10416255883043905,0.021444979609797316,1,1,,
ENSG00000163630.10,SYNPR,-1.624,-6.787401710530171,0.10437580854964387,0.057248609507288814,1,1,,
ENSG00000187741.14,FANCA,-1.623,-29.339327920591284,0.10458940486772589,0.0030601077394836586,1,3,,
ENSG00000171105.13,INSR,1.623,373.919473756014,0.10458940486772589,1.8839998851568206e-05,1,1,,
ENSG00000163453.11,IGFBP7,-1.622967727564729,-5.637672521267099,0.10459630391830617,0.08287433904747467,2,2,,
ENSG00000228261.1,RP11-127L20.3,1.6220000000000003,2.522977266353863,0.10480334813407557,0.413309155000924,1,1,,
ENSG00000178226.10,PRSS36,-1.622,-3.2897390697479443,0.10480334813407562,0.24309654946220907,1,1,,
ENSG00000179242.15,CDH4,-1.622,-29.437852952052356,0.10480334813407562,0.003035913802104967,1,2,,
ENSG00000105146.12,AURKC,1.622,3.123986393195568,0.10480334813407562,0.2695773703313511,1,2,,
ENSG00000117298.14,ECE1,-1.622,-49.695907668458126,0.10480334813407562,0.0010652718366724167,1,1,,
ENSG00000137825.10,ITPKA,-1.621,-37.92608958504376,0.10501763869795656,0.0018267953462833275,1,1,,
ENSG00000175970.10,UNC119B,1.621,7.464092851334571,0.10501763869795656,0.047164144702233464,1,1,,
ENSG00000108469.14,RECQL5,-1.6208032927199985,-6.61183026686951,0.10505983211909889,0.06009207881423084,2,3,,
ENSG00000177272.8,KCNA3,-1.6200000000000003,-20.151135661393166,0.10523227690850404,0.006462952670636361,1,1,,
ENSG00000205336.11,ADGRG1,1.62,368.23094478261686,0.10523227690850412,1.935483461365083e-05,1,1,,
ENSG00000110880.10,CORO1C,1.62,23.805909690143352,0.10523227690850412,0.004630847353854333,1,1,,
ENSG00000279727.1,LINC02033,-1.619,-28.572397228668397,0.10544726311472413,0.0032107045162573494,1,1,,
ENSG00000235049.1,LINC00940,1.619,2.5799955151622664,0.10544726311472413,0.3937819411093561,1,1,,
ENSG00000149571.11,KIRREL3,1.619,12.268711161885314,0.10544726311472413,0.0174138906598833,1,2,,
ENSG00000231595.1,AC005224.2,-1.618853327878975,-4.924667042587104,0.10547882488237292,0.10805907821612071,2,2,,
ENSG00000170837.2,GPR27,1.617008346656682,4.402202832385088,0.10587647923153676,0.13492251423719365,2,2,,
ENSG00000103550.13,KNOP1,1.617,1.5624944474457167,0.10587828090955036,1.0709842261599822,1,1,,
ENSG00000071073.12,MGAT4A,-1.6169999999999998,-618.4282743772292,0.10587828090955036,6.836618807637483e-06,1,1,,
ENSG00000280639.1,LINC02204,1.616,14.739769036658977,0.10609431319550974,0.012019913878276974,1,1,,
ENSG00000073350.13,LLGL2,1.616,8.602496536198036,0.10609431319550974,0.03528854076803169,1,1,,
ENSG00000134668.12,SPOCD1,1.616,4.564980500387908,0.10609431319550974,0.12531551965378152,1,2,,
ENSG00000229017.6,LINC01277,-1.6157882126014793,-4.6375013067338235,0.10614011093360369,0.12139499488342703,2,2,,
ENSG00000163468.14,CCT3,-1.615,-21.930975069910588,0.10631069487184555,0.005422869719007871,1,1,,
