gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000083454.21,P2RX5,0.1676595175688595,1.8733011282486058,0.8668511455878426,0.008010160809952904,2,3,,
ENSG00000197579.7,TOPORS,-0.16746686624381096,-2.8371318521723765,0.8670027162424484,0.0034841652749798917,2,2,,
ENSG00000164659.14,KIAA1324L,-0.167290346651428,-8.585441229316679,0.8671415993633182,0.0003796789526539143,1,1,,
ENSG00000048544.5,MRPS10,-0.16718223771514118,-0.4290076111251165,0.8672266599720461,0.15186240503308593,2,2,,
ENSG00000186300.11,ZNF555,0.16704256682053964,0.2127845354084578,0.8673365559508859,0.6162744841199286,2,2,,
ENSG00000138463.8,DIRC2,0.16697004954062852,0.6241091221403008,0.8673936150735913,0.07157413222397571,2,2,,
ENSG00000256525.6,POLG2,0.1668502060322347,4.345379580237247,0.8674879136361633,0.0014743413840739889,1,1,,
ENSG00000159348.12,CYB5R1,-0.1667750939805217,-2.2267927479217193,0.8675470163261048,0.005609224103799164,1,1,,
ENSG00000068615.17,REEP1,0.16655842713078567,1.7538558177749537,0.8677175070108104,0.00901873127138538,1,1,,
ENSG00000130810.19,PPAN,0.166508533603532,4.593371151449241,0.8677567680723505,0.0013140440231895426,1,1,,
ENSG00000215440.11,NPEPL1,-0.16646460171695382,-0.3071830956853501,0.8677913382074123,0.2936629563176848,3,3,,
ENSG00000247317.3,RP11-273G15.2,0.166286071765466,0.5887784314814118,0.8679318265693725,0.07976419074231245,2,2,,
ENSG00000266554.1,LINC01443,-0.16628397525807834,-3.6983455683512423,0.8679334763727312,0.0020215562009402556,2,2,,
ENSG00000122591.11,FAM126A,-0.16616081268135147,-0.9652863047424564,0.8680303976378638,0.029630905685784914,2,2,,
ENSG00000198816.6,ZNF358,0.1660215625181307,18.418025024277476,0.8681399812190087,8.125364951011045e-05,1,1,,
ENSG00000182141.10,ZNF708,0.1657696752296269,1.2950447076236622,0.8683382115586794,0.01638478135637357,2,2,,
ENSG00000273381.1,RP11-305L7.7,0.1655281962102518,1.540699465842064,0.8685282585668654,0.011542718410599442,1,1,,
ENSG00000164167.10,LSM6,0.16539062884153172,0.3388768033767967,0.8686365292037239,0.23819800151242546,2,2,,
ENSG00000169994.18,MYO7B,-0.165356304542195,-1.1656682863473105,0.8686635440882916,0.020122945629134654,1,2,,
ENSG00000174886.12,NDUFA11,-0.1652318453749775,-2.4163074794082076,0.8687615007613314,0.004676092678166879,1,1,,
ENSG00000077984.5,CST7,0.16514276377898168,0.4941597876644224,0.8688316144454058,0.11168228569108096,2,2,,
ENSG00000170906.15,NDUFA3,-0.1650606333113274,-2.4776200449336865,0.868896258000655,0.004438309686970966,1,3,,
ENSG00000172775.16,FAM192A,-0.16474353518693263,-0.4821694627921328,0.869145848996434,0.11673937363547648,2,2,,
ENSG00000214941.7,ZSWIM7,-0.1646640168415278,-0.2247437115832147,0.8692084406997873,0.5368121206990366,1,1,,
ENSG00000132953.16,XPO4,-0.1644500926101428,-0.8634569611339749,0.8693768320989671,0.036273282194036825,1,1,,
ENSG00000082556.10,OPRK1,-0.164180820781351,-29.12054269492601,0.8695887990232762,3.178673463960639e-05,1,1,,
ENSG00000182606.14,TRAK1,0.1639987719020299,1.7233820106944233,0.8697321106022784,0.0090556177301865,1,2,,
ENSG00000158710.14,TAGLN2,0.16378817768566215,1.7212903906947266,0.869897898831559,0.009054340306803412,2,2,,
ENSG00000027001.9,MIPEP,0.1637838133298371,0.1878925478363052,0.8699013346883432,0.7598412135232294,1,1,,
ENSG00000145781.8,COMMD10,0.1636391028432675,0.312082524236501,0.8700152599948843,0.27493832310185307,2,2,,
ENSG00000184599.13,FAM19A3,0.163489267398127,4.654518081117536,0.8701332228378359,0.001233755358839487,1,1,,
ENSG00000245750.7,DRAIC,0.1632085979797364,54.51205817496023,0.8703541967692203,8.963980615528165e-06,1,1,,
ENSG00000126005.16,MMP24-AS1,0.1631658832899012,0.26345308087334046,0.8703878273735262,0.38357663891063754,1,3,,
ENSG00000175707.8,KDF1,-0.1631424855703732,-1.0251636929845807,0.8704062492254575,0.02532489863423528,1,1,,
ENSG00000170537.12,TMC7,0.16312474425989157,6.757261510942425,0.8704202176334102,0.0005827714051677629,2,2,,
ENSG00000117425.13,PTCH2,0.16308990935770104,2.416280555420461,0.8704476445933201,0.004555745603172373,2,2,,
ENSG00000100908.13,EMC9,0.162676850431094,1.2909977682723661,0.8707728748471915,0.015878172944448814,1,2,,
ENSG00000273209.1,RP11-107N15.1,0.1626057166310087,0.7357222268819723,0.8708288856828221,0.048847671474702405,1,1,,
ENSG00000185043.10,CIB1,-0.16245404180099984,-0.7691965907285211,0.8709483167807461,0.044605287249650225,2,2,,
ENSG00000197948.10,FCHSD1,-0.16243924086772832,-11.354739355403883,0.8709599714212751,0.00020465745222181071,1,1,,
ENSG00000105875.13,WDR91,0.1623947487305405,0.9760070543618801,0.8709950058581448,0.02768458705021664,2,2,,
ENSG00000104695.12,PPP2CB,0.1623858187184134,1.3915922732199637,0.8710020376467502,0.013616709779966842,2,2,,
ENSG00000241316.6,SUCLG2-AS1,-0.16235108274400206,-0.3237121818015004,0.8710293900054616,0.25153144913466896,2,2,,
ENSG00000116815.15,CD58,0.16232644947395417,5.1875184727217505,0.8710487872239718,0.0009791726324761252,2,2,,
ENSG00000135929.8,CYP27A1,-0.1620649426327279,-4.715192512062216,0.8712547129122741,0.001181351948609851,1,1,,
ENSG00000083828.15,ZNF586,0.1620425371197686,0.6642858710341502,0.8712723567217309,0.059504257175332434,1,2,,
ENSG00000250125.1,RP11-707A18.1,-0.162016391115261,-0.9019732162426857,0.8712929461604594,0.03226492241938841,1,1,,
ENSG00000110801.13,PSMD9,0.1617672986268106,1.209437961798331,0.871489105723892,0.017890162040597818,1,1,,
ENSG00000233901.5,LINC01503,0.1615327430268131,1.1118964441656212,0.8716738247588147,0.021105344878073258,1,1,,
ENSG00000132383.11,RPA1,0.16146186266984336,0.40200954775516917,0.8717296463816468,0.1613121877305865,3,4,,
ENSG00000122025.14,FLT3,0.1614114114265689,8.56431681980138,0.8717693795035036,0.0003552082308815845,1,2,,
ENSG00000165269.12,AQP7,-0.1613690832420092,-0.1453878693554802,0.8718027155206055,1.2319251438265852,1,1,,
ENSG00000164089.8,ETNPPL,-0.161368631138427,-8.276818741836086,0.8718030715808743,0.0003801117905214586,1,1,,
ENSG00000058729.10,RIOK2,0.1613102579263947,0.47902219895901194,0.8718490444088399,0.11339990509832801,2,2,,
ENSG00000204866.8,IGFL2,0.16103882338577033,0.1859476099986144,0.872062823037846,0.7500323164254378,2,2,,
ENSG00000197646.7,PDCD1LG2,0.1610322891526552,0.4546251118474006,0.8720679694376959,0.12546398905103467,1,2,,
ENSG00000158077.4,NLRP14,-0.1609364487762981,-6.647731076032007,0.8721434544953459,0.000586086803926024,1,1,,
ENSG00000107521.18,HPS1,0.1608641765322259,0.3803214051346064,0.8722003777725897,0.17890280192772548,1,2,,
ENSG00000183828.14,NUDT14,-0.16081803217749868,-0.24587101447925666,0.8722367224710341,0.42781383099277615,2,2,,
ENSG00000160199.14,PKNOX1,-0.1605982386479098,-1.0460751244571085,0.8724098422461787,0.02356979505483322,1,2,,
ENSG00000043462.11,LCP2,-0.1605982386479098,-7.0017694881426795,0.8724098422461787,0.000526097136582108,1,1,,
ENSG00000170482.16,SLC23A1,-0.1605982386479098,-2.261909010668086,0.8724098422461787,0.0050411694346085695,1,1,,
ENSG00000013374.15,NUB1,-0.16024751916297125,-0.7018967583471487,0.8726860981456233,0.05212381038987807,2,2,,
ENSG00000115526.10,CHST10,-0.1601843667613084,-0.5989317807727635,0.8727358438916107,0.07152955786590585,2,2,,
ENSG00000127586.16,CHTF18,-0.1601281366973879,-0.7473894255424133,0.8727801372699983,0.04590303513783708,1,3,,
ENSG00000115652.14,UXS1,-0.16011539170306335,-0.864689496511642,0.8727901767743952,0.03428828765327411,2,3,,
ENSG00000227456.7,LINC00310,0.1600960768691836,3.2937412367642405,0.8728053915208608,0.0023625577072572657,1,1,,
ENSG00000172638.12,EFEMP2,-0.1600960768691836,-1.5668948546623418,0.8728053915208608,0.010439547401940351,1,3,,
ENSG00000182054.9,IDH2,0.1600960768691836,5.608694289881961,0.8728053915208608,0.0008147752756446427,1,1,,
ENSG00000115956.9,PLEK,0.1599040767309582,2.6353520863264004,0.8729566370785036,0.003681643908578831,1,1,,
ENSG00000253686.1,LINC01484,0.1599040767309582,134.36153174012364,0.8729566370785036,1.4163454114161335e-06,1,1,,
ENSG00000082212.12,ME2,-0.1598083066480967,-1.8094995729694965,0.873032080424824,0.00779976879803977,1,2,,
ENSG00000143554.13,SLC27A3,-0.1597169245469281,-4.581318183182724,0.8731040681938511,0.001215404854907201,1,1,,
ENSG00000127993.15,RBM48,0.1592581887780453,2.12100222553844,0.8734654607843835,0.005637950987073574,1,3,,
ENSG00000171617.13,ENC1,-0.1589796492849328,-4.093813172163261,0.8736849074199544,0.0015080892043835073,1,2,,
ENSG00000018869.16,ZNF582,0.1588891008470697,0.46558697292788087,0.8737562478716688,0.11646262487189471,1,1,,
ENSG00000167182.13,SP2,0.1588557561184929,365.9980598502611,0.8737825194614605,1.8838587890752678e-07,1,2,,
ENSG00000106608.16,URGCP,0.1586487046216313,25.973011569463036,0.8739456539673,3.731027438040625e-05,2,2,,
ENSG00000198874.12,TYW1,0.1586397235424475,0.25085273790493,0.8739527302215395,0.3999320394488273,1,2,,
ENSG00000158623.14,COPG2,0.1585427096013741,0.7957708343900428,0.8740291688174411,0.039693236964278164,1,1,,
ENSG00000181350.11,LRRC75A,-0.1583771226450001,-0.6505135083665443,0.874159639734837,0.0592750949412441,2,2,,
ENSG00000130348.11,QRSL1,-0.15814433282201795,-0.16038818728659648,0.8743430675872595,0.9722154284010565,2,3,,
ENSG00000120784.15,ZFP30,0.15802850776872324,0.5510546360513938,0.8744343350074193,0.08223970756826166,2,2,,
ENSG00000224235.1,LINC01773,-0.1579895495419575,-52.34410745681919,0.8744650335501141,9.110057622792759e-06,1,1,,
ENSG00000133104.12,SPG20,-0.1579151600889514,-13.238657496172618,0.8745236519327971,0.0001422852092539458,2,2,,
ENSG00000140105.17,WARS,-0.1578000757213404,-2.0451430007623164,0.8746143389878123,0.005953427293317173,1,1,,
ENSG00000188613.6,NANOS1,-0.1578000757213404,-0.7795987019923629,0.8746143389878123,0.04097058827720478,1,1,,
ENSG00000110427.14,KIAA1549L,-0.15762344084736532,-11.959830804559111,0.8747535313517727,0.0001736966873762449,2,2,,
